,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
2576,5.38,0.3393218,1.153706,0.8454461,40,16.89,815.7680624,2038.24971,8722.28,36.6659732,0.0110995,0.1134392,0.00024,0.0402672,1.068753,1.06,27.3,24.4,30.1
115,10.7,-0.0152641,-0.9913173,-0.0857958,17,6.18,37.4311111,197.5320126,1291.25,219.4022526,0.0121922,0.2979312,0.000101,-0.1857986,0.8884442,-0.31,31.1,26.8,35.7
843,12.37,0.3176,-1.445187,-0.9236479,38,12.34,251.781385,659.5863084,5374.49,511.1587043,0.0098748,0.2323681,0.000142,-0.1915627,-1.222703,-1.1,35.4,31.3,40.1
2405,10.84,-0.3383279,0.6947499,0.3427491,24,12.53,1532.976991,994.6592516,11060.35,2465.653486,0.0203827,0.3479058,0.000651,0.8634779,-1.544729,0.31,25.8,22.4,29.8
525,6.05,0.751057,0.1118844,1.110122,36,9.54,7.1808033,261.4968259,2669.73,282.7102282,0.038739,0.3252226,0.00581,0.3449421,1.012901,0.97,24.8,22.4,27.3
981,10.69,-0.6887648,-1.687036,-1.742392,20,7.57,110.8934368,344.2615764,2563.37,273.0778508,0.0078275,0.1728677,0.000147,-0.1690852,-1.547811,-1.82,29.3,25.0,33.9
1234,12.15,0.5220223,1.450618,0.7327356,44,14.85,300.4828344,1389.103887,9067.48,451.8358577,0.0703381,1.3287107,0.00226,1.743891,-1.537467,1.29,24.2,21.9,26.5
1368,10.39,0.6509932,2.245086,1.44953,43,24.47,233.8769589,1230.142984,5341.89,300.8451389,0.1461823,1.4513938,0.00526,1.961406,0.0101301,2.25,20.6,18.6,22.7
1080,10.99,-1.761272,-0.1573775,0.0782129,15,8.58,147.2816818,1002.933445,6070.9,106.1278282,0.0235949,0.3720427,0.00044,0.6008288,-1.554669,-0.6,30.6,26.3,34.8
1090,12.7,-1.843307,-0.548699,0.381751,15,7.62,56.2638093,175.0529053,1785.35,75.082314,0.0371583,0.4016533,0.000735,0.8084395,-1.55169,-0.59,27.3,23.6,31.4
1242,10.8,-0.0807603,7.18e-05,-0.2629728,26,10.86,177.895831,471.5756423,2837.33,335.1825238,0.0132683,0.1534485,0.000182,-0.1351701,0.8748742,0.0,27.7,23.8,32.3
996,9.46,-0.1259533,-0.9156847,0.1528175,17,5.11,65.7561999,385.0424896,1863.49,239.6194876,0.0397934,0.2904261,0.00207,0.4471326,-1.555433,-0.47,30.2,26.5,34.4
124,11.48,-0.0062347,0.4943697,-0.5276213,22,10.96,10.3657417,77.4204081,1008.63,45.1680569,0.0188729,0.3191226,8.1e-06,0.046523,0.8865038,0.18,27.9,24.3,32.1
779,10.97,0.632532,0.4118146,-1.014889,49,18.16,219.9407128,464.0406504,4090.29,212.6838589,0.0053857,0.3279126,8.54e-05,-0.1015824,0.4589821,0.02,26.1,22.1,30.4
698,10.58,0.4595433,0.9474361,0.2071461,42,10.74,170.534158,639.6080127,5512.73,372.5328626,0.0116978,0.4156891,0.000208,0.5247844,0.13661,0.78,30.4,26.1,34.9
985,11.19,-0.0597414,0.961766,0.3747604,23,24.78,377.1323803,1021.696783,5103.79,298.0424953,0.0227953,0.9718131,0.00342,1.444485,-1.553162,0.7,25.0,21.5,29.2
1359,11.12,0.1456505,0.7476822,0.6370555,23,15.8,239.9837537,621.3166499,8710.56,460.3613133,0.0286068,0.2894246,0.000593,0.8217672,0.9279991,1.02,26.9,24.0,29.9
638,11.68,1.052266,0.8144361,0.3539773,42,10.19,80.244339,474.3584228,5053.59,236.1154143,0.0316798,0.5572037,0.000717,0.9399277,0.7436265,1.2,31.7,27.4,36.2
